PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=79.0 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=81.8 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=81.4 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=81.5 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=83.4 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=84.6 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=86.9 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=84.0 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=84.8 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=85.7 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=86.7 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=87.5 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=88.5 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=89.6 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=90.5 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=92.3 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=91.8 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=91.1 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=94.2 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=93.6 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=93.1 ms
s from 10.0.0.2: icmp_seq=35 ttl=64 time=89.8 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=91.2 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=90.4 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=90.2 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=90.4 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=93.2 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=92.4 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=94.3 ms
